Molarity,Voltage,Dimension(mass),ConfIntLow(mass),ConfIntHigh(mass),R^2,Type,Dimension(box),ConfIntLow(box),ConfIntHigh(box),R^2(box),MolarityErr
1.000,7,1.203,1.125,1.281,0.980195,Stringy/Dendritic,1.290,1.259,1.321,0.994090,0.0002
1.000,5,1.111,1.088,1.133,0.981741,Stringy,1.339,1.301,1.377,0.992040,0.0002
1.000,3,1.099,1.060,1.138,0.948657,Stringy,1.313,1.271,1.355,0.989666,0.0002
0.251,7,1.696,1.623,1.769,0.988227,Open/Stringy,1.486,1.444,1.527,0.992233,0.028
0.251,5,1.423,1.390,1.456,0.982026,Open/Dendritic,1.490,1.462,1.519,0.996393,0.028
0.251,3,1.749,1.599,1.898,0.990963,Open/Dendritic,1.537,1.515,1.558,0.998725,0.028
0.100,7,1.621,1.550,1.692,0.991646,Open/Stringy,1.527,1.494,1.561,0.997348,0.001
0.100,5,1.337,1.256,1.419,0.980386,Dendritic/Stringy,1.483,1.439,1.534,0.996065,0.001
0.100,3,1.595,1.533,1.656,0.990220,Open/Dendritic,1.534,1.522,1.546,0.999472,0.001
0.010,7,1.815,1.768,1.862,0.997657,Homogenous/Dendritic,1.793,1.773,1.812,0.998808,0.001
0.010,5,1.748,1.688,1.809,0.994467,Dendritic/Homogeneous,1.712,1.695,1.728,0.999131,0.001
0.010,3,1.854,1.811,1.909,0.997329,Homogeneous,1.673,1.647,1.699,0.997642,0.001
